reference	query	C	I_local	I_global
AS0296_contig00045_len4673	AS0296_contig00045_len4673	1.0	1.0	1.0
AS0296_contig00045_len4673	AS0305_contig00044_len4636	1.0	1.0	1.0
AS0296_contig00045_len4673	AS0554_contig00071_len4508	0.820097604259095	0.9440086556667568	0.7741792369121562
AS0296_contig00045_len4673	AS0565_contig00044_len4636	1.0	1.0	1.0
AS0296_contig00045_len4673	AS0567_contig00042_len4648	0.976118760757315	0.9852325325104695	0.9617039586919105
AS0296_contig00045_len4673	AS1038_contig00048_len4613	0.48319965315412966	0.9380888290713324	0.45328419683503146
AS0296_contig00045_len4673	AS1309_contig00012_len4636	1.0	1.0	1.0
AS0296_contig00045_len4673	AS1310_contig00044_len4636	1.0	1.0	1.0
AS0296_contig00045_len4673	AS1311_contig00045_len4636	1.0	1.0	1.0
AS0296_contig00045_len4673	AS1351_contig00029_len4657_rep7a_4_repD	0.5520721494524372	0.9008168028004667	0.49731586858492594
AS0296_contig00045_len4673	CP028191.1	0.8155560609506481	0.9431121026213051	0.769160791448715
AS0296_contig00045_len4673	NC_005564.1	0.8160109165340005	0.9417502787068004	0.7684785080736866
AS0305_contig00044_len4636	AS0296_contig00045_len4673	1.0	1.0	1.0
AS0305_contig00044_len4636	AS0305_contig00044_len4636	1.0	1.0	1.0
AS0305_contig00044_len4636	AS0554_contig00071_len4508	0.820097604259095	0.9440086556667568	0.7741792369121562
AS0305_contig00044_len4636	AS0565_contig00044_len4636	1.0	1.0	1.0
AS0305_contig00044_len4636	AS0567_contig00042_len4648	0.976118760757315	0.9855851979345955	0.9620482020286704
AS0305_contig00044_len4636	AS1038_contig00048_len4613	0.48319965315412966	0.9380888290713324	0.45328419683503146
AS0305_contig00044_len4636	AS1309_contig00012_len4636	1.0	1.0	1.0
AS0305_contig00044_len4636	AS1310_contig00044_len4636	1.0	1.0	1.0
AS0305_contig00044_len4636	AS1311_contig00045_len4636	1.0	1.0	1.0
AS0305_contig00044_len4636	AS1351_contig00029_len4657_rep7a_4_repD	0.5520721494524372	0.9008168028004667	0.49731586858492594
AS0305_contig00044_len4636	CP028191.1	0.8155560609506481	0.9431121026213051	0.769160791448715
AS0305_contig00044_len4636	NC_005564.1	0.8160109165340005	0.9417502787068004	0.7684785080736866
AS0554_contig00071_len4508	AS0296_contig00045_len4673	0.7670405522001725	0.9435505863103354	0.7237415627522762
AS0554_contig00071_len4508	AS0305_contig00044_len4636	0.7670405522001725	0.9435505863103354	0.7237415627522762
AS0554_contig00071_len4508	AS0554_contig00071_len4508	1.0	1.0	1.0
AS0554_contig00071_len4508	AS0565_contig00044_len4636	0.7830025884383088	0.9443998930767175	0.7394675607999318
AS0554_contig00071_len4508	AS0567_contig00042_len4648	0.7882960413080895	0.9549668874172186	0.7527966169313014
AS0554_contig00071_len4508	AS1038_contig00048_len4613	0.4448298287448515	0.9522417153996101	0.42358551918491216
AS0554_contig00071_len4508	AS1309_contig00012_len4636	0.7909836065573771	0.9441503440974061	0.7468074443065549
AS0554_contig00071_len4508	AS1310_contig00044_len4636	0.790120793787748	0.9385267620561738	0.741549510226869
AS0554_contig00071_len4508	AS1311_contig00045_len4636	0.7754529767040552	0.9438747976254722	0.7319305214546101
AS0554_contig00071_len4508	AS1351_contig00029_len4657_rep7a_4_repD	0.6117672321236848	0.874106839060905	0.5347499215126731
AS0554_contig00071_len4508	CP028191.1	1.0	1.0	1.0
AS0554_contig00071_len4508	NC_005564.1	1.0	0.9980035492457853	0.9980035492457853
AS0565_contig00044_len4636	AS0296_contig00045_len4673	1.0	1.0	1.0
AS0565_contig00044_len4636	AS0305_contig00044_len4636	1.0	1.0	1.0
AS0565_contig00044_len4636	AS0554_contig00071_len4508	0.820097604259095	0.9448422169185893	0.7748628384977871
AS0565_contig00044_len4636	AS0565_contig00044_len4636	1.0	1.0	1.0
AS0565_contig00044_len4636	AS0567_contig00042_len4648	0.976118760757315	0.9844088349935037	0.960899932092411
AS0565_contig00044_len4636	AS1038_contig00048_len4613	0.48319965315412966	0.9380952380952381	0.45328729367315973
AS0565_contig00044_len4636	AS1309_contig00012_len4636	1.0	1.0	1.0
AS0565_contig00044_len4636	AS1310_contig00044_len4636	1.0	1.0	1.0
AS0565_contig00044_len4636	AS1311_contig00045_len4636	1.0	1.0	1.0
AS0565_contig00044_len4636	AS1351_contig00029_len4657_rep7a_4_repD	0.5520721494524372	0.903838986209467	0.49898433187557223
AS0565_contig00044_len4636	CP028191.1	0.8155560609506481	0.9439890710382514	0.7698760083564179
AS0565_contig00044_len4636	NC_005564.1	0.8160109165340005	0.9423969423969424	0.7690061927041686
AS0567_contig00042_len4648	AS0296_contig00045_len4673	0.9531924072476272	0.9852031802120141	0.9390881909743076
AS0567_contig00042_len4648	AS0305_contig00044_len4636	0.9771354616048318	0.9855572321621039	0.9630229209866977
AS0567_contig00042_len4648	AS0554_contig00071_len4508	0.820097604259095	0.9552042160737813	0.7833606891802949
AS0567_contig00042_len4648	AS0565_contig00044_len4636	0.9706643658326143	0.9843783901063138	0.9555010257718749
AS0567_contig00042_len4648	AS0567_contig00042_len4648	1.0	1.0	1.0
AS0567_contig00042_len4648	AS1038_contig00048_len4613	0.4550184261868632	0.9574660633484163	0.43566470127212786
AS0567_contig00042_len4648	AS1309_contig00012_len4636	0.9771354616048318	0.9851261047639578	0.9626016511174997
AS0567_contig00042_len4648	AS1310_contig00044_len4636	0.9762726488352028	0.9805825242718447	0.9573158983723834
AS0567_contig00042_len4648	AS1311_contig00045_len4636	0.9631147540983607	0.9842588543944032	0.9479542245191999
AS0567_contig00042_len4648	AS1351_contig00029_len4657_rep7a_4_repD	0.5520721494524372	0.8888474449832152	0.49070791948719056
AS0567_contig00042_len4648	CP028191.1	0.8155560609506481	0.9546688382193268	0.7785859572104857
AS0567_contig00042_len4648	NC_005564.1	0.8160109165340005	0.952819956616052	0.7775114860901512
AS1038_contig00048_len4613	AS0296_contig00045_len4673	0.47907679033649697	0.9378658262044124	0.4493097497842968
AS1038_contig00048_len4613	AS0305_contig00044_len4636	0.47907679033649697	0.9378658262044124	0.4493097497842968
AS1038_contig00048_len4613	AS0554_contig00071_len4508	0.45474711623779945	0.9521951219512195	0.4330079858030168
AS1038_contig00048_len4613	AS0565_contig00044_len4636	0.49654874892148404	0.9378801042571677	0.46570319240724767
AS1038_contig00048_len4613	AS0567_contig00042_len4648	0.4756884681583477	0.9574853007688828	0.4554647160068847
AS1038_contig00048_len4613	AS1038_contig00048_len4613	1.0	1.0	1.0
AS1038_contig00048_len4613	AS1309_contig00012_len4636	0.47907679033649697	0.9378658262044124	0.4493097497842968
AS1038_contig00048_len4613	AS1310_contig00044_len4636	0.5021570319240725	0.9308419243986255	0.4674288179465056
AS1038_contig00048_len4613	AS1311_contig00045_len4636	0.48899913718723037	0.9369210410233789	0.45815358067299394
AS1038_contig00048_len4613	AS1351_contig00029_len4657_rep7a_4_repD	0.4432037792570324	0.8905038759689923	0.394674683272493
